Vardas              Pavarde                 ND1   ND2   ND3   ND4   ND5   Egz.  
Vardas1             Pavarde1                 8     5     5     0     1     2
Vardas2             Pavarde2                 2     0     6     2     3     1
Vardas3             Pavarde3                 9     7     8     2     3     1
Vardas4             Pavarde4                 8     7     2     7     7     1
Vardas5             Pavarde5                 3     2     6     4     7     8
Vardas6             Pavarde6                 6     1     2     1     1     0
Vardas7             Pavarde7                 9     4     9    10     5     6
Vardas8             Pavarde8                 4     3     9     6     2     5
Vardas9             Pavarde9                 2     8    10     0     0     9
Vardas10            Pavarde10                1     7     4     5     7     5
Vardas11            Pavarde11                6     0     6     1     4    10
Vardas12            Pavarde12                5     4     8    10     3     4
Vardas13            Pavarde13                9     7     1     3    10     4
Vardas14            Pavarde14               10     6     7     1     9     8
Vardas15            Pavarde15                3    10     2     1     9     8
Vardas16            Pavarde16                2     9     3     1     7     8
Vardas17            Pavarde17                0     3     4     2    10     7
Vardas18            Pavarde18                9     2     1     2     8     0
Vardas19            Pavarde19                1    10    10     0    10     6
Vardas20            Pavarde20                1     9     4     6     0     1
Vardas21            Pavarde21                3     1     1     5     8     0
Vardas22            Pavarde22               10     7     0     4     4     7
Vardas23            Pavarde23                6     6     4     9     4     1
Vardas24            Pavarde24                8     2     3     1     5     3
Vardas25            Pavarde25               10    10     6     6    10     3
Vardas26            Pavarde26                1     5     0     0     4     5
Vardas27            Pavarde27                7     1    10     6    10     4
Vardas28            Pavarde28                4     3     6     7     3     8
Vardas29            Pavarde29               10     0     5    10     1     8
Vardas30            Pavarde30                4     5     6     9     2    10
Vardas31            Pavarde31                0    10     9     6     5     6
Vardas32            Pavarde32                8     5     7     1     1     4
Vardas33            Pavarde33                3     1     3     1     6     5
Vardas34            Pavarde34                5     6     7     8     6     6
Vardas35            Pavarde35                3     9     3     7     0     9
Vardas36            Pavarde36                8     1     0     8     9     4
Vardas37            Pavarde37                5    10     8    10     4     4
Vardas38            Pavarde38                0     5     3     2     2     8
Vardas39            Pavarde39                1     2     9     2     2     0
Vardas40            Pavarde40                7     7     0     9     5     1
Vardas41            Pavarde41                4     7     5     4     8     7
Vardas42            Pavarde42                8     7     3     5     3    10
Vardas43            Pavarde43               10     8     3     2     4     0
Vardas44            Pavarde44                1     8     7     2     4     9
Vardas45            Pavarde45                1     4     6     9     9     9
Vardas46            Pavarde46                5     4     6     7     4     4
Vardas47            Pavarde47                2     8     4     0     4     2
Vardas48            Pavarde48                8     4     7     4    10     4
Vardas49            Pavarde49                0     4     2     1     4     4
Vardas50            Pavarde50                9     7     1     6     0     4
Vardas51            Pavarde51                5     3     8     4     0     4
Vardas52            Pavarde52                8     8    10     9     4     4
Vardas53            Pavarde53                7     3     5     0     4    10
Vardas54            Pavarde54                6     8     6     5     9     9
Vardas55            Pavarde55                6     4     8     5     3     1
Vardas56            Pavarde56                0     1     1     2     1     0
Vardas57            Pavarde57                4     3     0     6     5     0
Vardas58            Pavarde58               10     1     3     9     0     8
Vardas59            Pavarde59                2     8     4     5     5     9
Vardas60            Pavarde60                3     7    10     0    10    10
Vardas61            Pavarde61               10     7     5     8     6     9
Vardas62            Pavarde62                1     6     9     9     5     1
Vardas63            Pavarde63                3     1     9     4    10     9
Vardas64            Pavarde64                9     0     7     3     1    10
Vardas65            Pavarde65                2     0     1     6     4     8
Vardas66            Pavarde66                2     0     9     8     7     5
Vardas67            Pavarde67                2     2     9     4    10     5
Vardas68            Pavarde68                7     7     5    10     7    10
Vardas69            Pavarde69                5     4     9     3     4     9
Vardas70            Pavarde70                3     6     3     3    10    10
Vardas71            Pavarde71                7     4     7     0     0    10
Vardas72            Pavarde72                9     7     9     7     0     0
Vardas73            Pavarde73                3     5     2     0     1     5
Vardas74            Pavarde74                0     5     1     5     5     1
Vardas75            Pavarde75                6    10     9     2    10    10
Vardas76            Pavarde76                3     3     0     2    10     4
Vardas77            Pavarde77                0     5     2     0     4    10
Vardas78            Pavarde78               10     7     1     3    10     9
Vardas79            Pavarde79                2     5     7     3     4     0
Vardas80            Pavarde80                9     7     8     7     4     8
Vardas81            Pavarde81                9     6     0     2     9     1
Vardas82            Pavarde82                6     7     5     0     1     0
Vardas83            Pavarde83                4     4     4     1     9     3
Vardas84            Pavarde84                5     5     2     6     8     5
Vardas85            Pavarde85                4     0     9     9     9     3
Vardas86            Pavarde86                0     5     5     2     0     0
Vardas87            Pavarde87                5     3     4     9     7     0
Vardas88            Pavarde88                1     0     6     8     1     8
Vardas89            Pavarde89                5     5     9     0     1     9
Vardas90            Pavarde90                0     6     3     3     5     1
Vardas91            Pavarde91                7     1     7     9     1     3
Vardas92            Pavarde92                0     3     7     6     0     0
Vardas93            Pavarde93                9     8    10     9    10     2
Vardas94            Pavarde94                9     2    10     5    10     1
Vardas95            Pavarde95               10     7     9     2     9     9
Vardas96            Pavarde96               10     0     1     5     7     4
Vardas97            Pavarde97                7    10     4    10     4     0
Vardas98            Pavarde98                7     5     9     5     2     3
Vardas99            Pavarde99                0     5     5     1    10     2
Vardas100           Pavarde100              10     5     3     1     1     4
Vardas101           Pavarde101               8     4     4     5     9     4
Vardas102           Pavarde102              10     0     3     4    10     3
Vardas103           Pavarde103               4     5     9     8     0     8
Vardas104           Pavarde104               5     9     4     9     3     6
Vardas105           Pavarde105               2     0     0     1     0     3
Vardas106           Pavarde106               5     3     8     7     1     3
Vardas107           Pavarde107               1     1    10     8     6    10
Vardas108           Pavarde108               1     2     0     9     0     7
Vardas109           Pavarde109               7     7    10     4     6     7
Vardas110           Pavarde110               0     6     0     1     4     0
Vardas111           Pavarde111               3     3    10     2     0     7
Vardas112           Pavarde112               8     0     5     6     0     0
Vardas113           Pavarde113               3     6     0     8     9    10
Vardas114           Pavarde114               2     0     7     6     4    10
Vardas115           Pavarde115               7     3     1     7     8     4
Vardas116           Pavarde116               6     9     8     5     2     8
Vardas117           Pavarde117              10    10     6     7     9     0
Vardas118           Pavarde118               8     2     7     4     4     3
Vardas119           Pavarde119               0     8     9     2     1     8
Vardas120           Pavarde120              10     0     8     3     7     4
Vardas121           Pavarde121               5     2     8    10     2     7
Vardas122           Pavarde122               7     7     8     4     5     3
Vardas123           Pavarde123               3     5     6     1     3     7
Vardas124           Pavarde124               5     1     7     9    10     5
Vardas125           Pavarde125               6     3     8     0     6     6
Vardas126           Pavarde126               3     8     4     4     7     5
Vardas127           Pavarde127               0     0     3     0     0     5
Vardas128           Pavarde128               9     6     8     0     4     6
Vardas129           Pavarde129               1     2    10     1     6     2
Vardas130           Pavarde130               4     7    10     5     0     9
Vardas131           Pavarde131               1     6     3     6     9     2
Vardas132           Pavarde132              10     1     6     3     5     2
Vardas133           Pavarde133               9     0     7     9     7     5
Vardas134           Pavarde134               9     9     3     3     6    10
Vardas135           Pavarde135               6     4     4     4     5     3
Vardas136           Pavarde136               2     0     9     6     4     3
Vardas137           Pavarde137               1     5     3     5     0    10
Vardas138           Pavarde138               3     4     7     6     8     0
Vardas139           Pavarde139               7     0     9     4     4     7
Vardas140           Pavarde140              10    10     3     2     9     8
Vardas141           Pavarde141               6     0     5     3     4     7
Vardas142           Pavarde142               0     3     2     3     6     9
Vardas143           Pavarde143               4     3     5     4     1     7
Vardas144           Pavarde144               1     2     1     4     2     7
Vardas145           Pavarde145               6     4     1     4     0     2
Vardas146           Pavarde146               3     2     3     6     8     8
Vardas147           Pavarde147               7     0     3     4     9     5
Vardas148           Pavarde148               8     0     5     8     4     1
Vardas149           Pavarde149               4     0     9     7     2     7
Vardas150           Pavarde150               2     6     8     4     1    10
Vardas151           Pavarde151               3     3     8     2     7     1
Vardas152           Pavarde152               4     1     1    10     7     6
Vardas153           Pavarde153              10     0     9    10     3     8
Vardas154           Pavarde154              10     8     8     0     1     8
Vardas155           Pavarde155               0     5     9     3     9     6
Vardas156           Pavarde156              10     3     1     8     8     2
Vardas157           Pavarde157               6     6     1     1     6     2
Vardas158           Pavarde158               5     8     8    10     9     8
Vardas159           Pavarde159              10     7     4     4     0     2
Vardas160           Pavarde160               2     4     3     8     6     8
Vardas161           Pavarde161               7     8     7     4     4     5
Vardas162           Pavarde162               0     6     6    10     9     2
Vardas163           Pavarde163               9     2     4     6     0     9
Vardas164           Pavarde164               1     8     1     8    10     9
Vardas165           Pavarde165               4     0     4     2     0     5
Vardas166           Pavarde166               4     8     5     9     5     6
Vardas167           Pavarde167               0     6     9     1     2     2
Vardas168           Pavarde168               5     0     7     8    10     4
Vardas169           Pavarde169               6     5     9     6     0     2
Vardas170           Pavarde170               2     9     0     0     2     7
Vardas171           Pavarde171               6     2     2     9     1     6
Vardas172           Pavarde172               0     5     8     1     2     5
Vardas173           Pavarde173               0     3    10     6     3     0
Vardas174           Pavarde174               0     1     8    10     6    10
Vardas175           Pavarde175               6     6     5     2    10     4
Vardas176           Pavarde176               2     9     4     7     0    10
Vardas177           Pavarde177               5     7     6     3     9     0
Vardas178           Pavarde178               9     0    10     0     4     4
Vardas179           Pavarde179               4     9     1    10     4     8
Vardas180           Pavarde180               6     2    10     7     7     3
Vardas181           Pavarde181               2     7    10     6     9     9
Vardas182           Pavarde182               8     2     9    10     7     3
Vardas183           Pavarde183              10     3     4     8     2     2
Vardas184           Pavarde184              10     6     0     3     6     9
Vardas185           Pavarde185               2     8     7     0     8     1
Vardas186           Pavarde186               0     5     2     2     2     4
Vardas187           Pavarde187              10     1     0    10    10     1
Vardas188           Pavarde188               0     5     0     9     2     7
Vardas189           Pavarde189               6     9     0    10     2     0
Vardas190           Pavarde190               0     4     9     6     5     5
Vardas191           Pavarde191               7     6     8     4     0     1
Vardas192           Pavarde192              10     7     7     3     9     9
Vardas193           Pavarde193               8     9     2     0     1     4
Vardas194           Pavarde194               1     9    10     5     8     2
Vardas195           Pavarde195               8     3     9     4     9    10
Vardas196           Pavarde196               7     8     1     7     5    10
Vardas197           Pavarde197               4     9     9     1     8     9
Vardas198           Pavarde198               9     6     8     8     1     7
Vardas199           Pavarde199               3     1     5    10     7     1
Vardas200           Pavarde200               9     8     4     7     1     6
Vardas201           Pavarde201               4     4     2     2     5     0
Vardas202           Pavarde202               3     1     2     7     0     7
Vardas203           Pavarde203              10     7     2     4     6     5
Vardas204           Pavarde204               7     1     1     7     2     8
Vardas205           Pavarde205               5     4     9     6     8     1
Vardas206           Pavarde206               1     1     6     5    10     6
Vardas207           Pavarde207               8     1     1     4     1     7
Vardas208           Pavarde208               7     8     7     9     8     1
Vardas209           Pavarde209               3     5    10     3     2     9
Vardas210           Pavarde210               3    10     3     0     2     4
Vardas211           Pavarde211               2     3     2     5     5    10
Vardas212           Pavarde212               0     3     0     7     4     0
Vardas213           Pavarde213               3     0     9     5     3     3
Vardas214           Pavarde214               1     6     4     5     0     5
Vardas215           Pavarde215              10     4     6     8     7     7
Vardas216           Pavarde216              10    10     0     2     1     0
Vardas217           Pavarde217              10     2     6     0     1    10
Vardas218           Pavarde218               1     1     4     0    10     7
Vardas219           Pavarde219              10     3     2     3     4    10
Vardas220           Pavarde220               0     9     6     1     0     5
Vardas221           Pavarde221               0     9     6     3     3     3
Vardas222           Pavarde222              10     6     5     8     9     5
Vardas223           Pavarde223               8     7     7     3     2     8
Vardas224           Pavarde224               3     9     6     5     6     0
Vardas225           Pavarde225               6     3     2     4     3     5
Vardas226           Pavarde226               0     8     6     3     4     3
Vardas227           Pavarde227              10     5    10     2     8     1
Vardas228           Pavarde228               2     6     3     9     5    10
Vardas229           Pavarde229              10     2     6     4     2     0
Vardas230           Pavarde230               4     1     4     0     1     7
Vardas231           Pavarde231              10     6     4     4     8     6
Vardas232           Pavarde232               1     7     8     1     4     1
Vardas233           Pavarde233              10     8     0     7     3     4
Vardas234           Pavarde234               3     3     2     5     0     4
Vardas235           Pavarde235               4     6     8     9     5     7
Vardas236           Pavarde236               1     0     5     7    10     2
Vardas237           Pavarde237               1     2     1    10     3     2
Vardas238           Pavarde238               4     7     6    10     9     1
Vardas239           Pavarde239               9     3     5     1    10     8
Vardas240           Pavarde240               7     4     8     3     7     6
Vardas241           Pavarde241               0     5     7     4     3     7
Vardas242           Pavarde242               9     7     0     8     6     0
Vardas243           Pavarde243               1     0     7     7     2     2
Vardas244           Pavarde244               3     6     1     2    10     0
Vardas245           Pavarde245               2     8    10     0     6     9
Vardas246           Pavarde246               6     2     5     8     7     7
Vardas247           Pavarde247              10     9     7     1     7     6
Vardas248           Pavarde248               7     8     4     5     7     9
Vardas249           Pavarde249               2     8     1     8    10     1
Vardas250           Pavarde250               4     5     9     6    10     4
Vardas251           Pavarde251               2     0     6     8     7    10
Vardas252           Pavarde252               7     3     9    10    10     2
Vardas253           Pavarde253               8     2     8     7     5     8
Vardas254           Pavarde254               1     3    10     1    10     1
Vardas255           Pavarde255              10     7     8     3     8     1
Vardas256           Pavarde256               5     3     8     7     3     3
Vardas257           Pavarde257               7     5     8     5     0     5
Vardas258           Pavarde258               5     9     7     0     7     0
Vardas259           Pavarde259               2     7     5     3     3     3
Vardas260           Pavarde260              10     6     9     8     0     2
Vardas261           Pavarde261               1     4     8     6    10     5
Vardas262           Pavarde262               3     3     1     4     7    10
Vardas263           Pavarde263               6     9     0    10     8     5
Vardas264           Pavarde264               7     0     4     5    10     6
Vardas265           Pavarde265               3     8     9    10     0     9
Vardas266           Pavarde266               4     9     5     1     9     3
Vardas267           Pavarde267               8     1     9     5     8    10
Vardas268           Pavarde268               5     6     3     5     7     1
Vardas269           Pavarde269               7     9     6    10    10     7
Vardas270           Pavarde270               0     8     7     7    10     8
Vardas271           Pavarde271               9     0     9     2     1     2
Vardas272           Pavarde272               9     7     8     5     2     6
Vardas273           Pavarde273               9     6     5     6    10     0
Vardas274           Pavarde274               0     8     8     5     2     4
Vardas275           Pavarde275               2     7     1     7     0     2
Vardas276           Pavarde276               3     1     3     5     0     4
Vardas277           Pavarde277               0     6     3     3     2     8
Vardas278           Pavarde278               7     9     8     1     7     1
Vardas279           Pavarde279               0     5     4     6     3     7
Vardas280           Pavarde280               3     6     7     0     1     8
Vardas281           Pavarde281               8     5     3     0     4     1
Vardas282           Pavarde282               9     7     1     8     5    10
Vardas283           Pavarde283               7     2     4     4     4     0
Vardas284           Pavarde284               5     0     9     6    10     7
Vardas285           Pavarde285               3     8    10     3     4     8
Vardas286           Pavarde286               2     2     3     7     0     1
Vardas287           Pavarde287               9     5     2     8     2     7
Vardas288           Pavarde288              10     6     0     8     4     8
Vardas289           Pavarde289               1     2     3     6     8     4
Vardas290           Pavarde290               0     0     9     9     2    10
Vardas291           Pavarde291               5     5     9     8     6    10
Vardas292           Pavarde292               4     9     5     2     3     5
Vardas293           Pavarde293               6     0     3     3     5     5
Vardas294           Pavarde294               8     8     3     8     8     2
Vardas295           Pavarde295               8     4     8     3     6     0
Vardas296           Pavarde296               2     0     0     3     3     3
Vardas297           Pavarde297               9     2     6     1     7     7
Vardas298           Pavarde298               1     7     2     5     3     6
Vardas299           Pavarde299               8     6     4     3     1     9
