Vardas              Pavarde                 ND1   ND2   ND3   ND4   ND5   Egz.  
Vardas1             Pavarde1                 0     5     9     9     2     3
Vardas2             Pavarde2                 2    10     3     8     8     5
Vardas3             Pavarde3                 1     8     6     0     3     1
Vardas4             Pavarde4                 0    10     4     6     8     4
Vardas5             Pavarde5                10     6     4     2     8     9
Vardas6             Pavarde6                 5     6     5     1     3     4
Vardas7             Pavarde7                10     7     0     0     8    10
Vardas8             Pavarde8                 2    10    10     5     0     3
Vardas9             Pavarde9                 9    10     8     0    10     2
Vardas10            Pavarde10                5     5     2     5     8     7
Vardas11            Pavarde11                1     8     0     6    10     5
Vardas12            Pavarde12                2     5     0    10     3     2
Vardas13            Pavarde13                7     4     6     8     6     7
Vardas14            Pavarde14                1     7     3     7     9     4
Vardas15            Pavarde15                3    10     2    10     4     5
Vardas16            Pavarde16                0     4     3    10     3     6
Vardas17            Pavarde17                1     3     4    10     1    10
Vardas18            Pavarde18                9     4     2    10     4     6
Vardas19            Pavarde19                2     1     4     1     3     9
Vardas20            Pavarde20                6     8    10     3     0     5
Vardas21            Pavarde21                1     7     9     0     8     9
Vardas22            Pavarde22                5     5     6     3     6     2
Vardas23            Pavarde23                5     4     0     1     9     3
Vardas24            Pavarde24                5     2     8     4     8     7
Vardas25            Pavarde25                7     1     2     5     1     7
Vardas26            Pavarde26                3     6     4     3     7    10
Vardas27            Pavarde27                6     9    10     6     0     9
Vardas28            Pavarde28                4     3     0     3     3     1
Vardas29            Pavarde29                0     1     3     3     6     9
Vardas30            Pavarde30                6     2     2     6     8     1
Vardas31            Pavarde31                2     7     7     9     0     0
Vardas32            Pavarde32               10     7     4     5    10     4
Vardas33            Pavarde33                6     1     4     6     2     1
Vardas34            Pavarde34                6     6     2     4     9     6
Vardas35            Pavarde35                7     0     3    10     8     4
Vardas36            Pavarde36                0    10     9     2     2     9
Vardas37            Pavarde37                4     5     8     4     8     6
Vardas38            Pavarde38                5     2     0    10     8     1
Vardas39            Pavarde39                1     3     1     7     0    10
Vardas40            Pavarde40                5     6     7     3    10     6
Vardas41            Pavarde41                4     1     8     5     6     4
Vardas42            Pavarde42                4     2     5    10     2     9
Vardas43            Pavarde43                2     1     4     7     5     8
Vardas44            Pavarde44                7     1     5     5     5     1
Vardas45            Pavarde45                1     5     1     0     8     4
Vardas46            Pavarde46                8     0     2     1     6    10
Vardas47            Pavarde47                1     6    10     4     5     2
Vardas48            Pavarde48                3    10     6     4     4     9
Vardas49            Pavarde49                1     9     0     3     6     7
Vardas50            Pavarde50                6     3     6     3     6     3
Vardas51            Pavarde51                7    10     5     1     6     8
Vardas52            Pavarde52                8     7     5     5    10     7
Vardas53            Pavarde53               10     1     6     4     9     0
Vardas54            Pavarde54                0     4     2     3     7     2
Vardas55            Pavarde55                2     0     7     8     0     4
Vardas56            Pavarde56                4     1     9     4     0     7
Vardas57            Pavarde57                6     5     7     9     3     5
Vardas58            Pavarde58               10     7     3    10     8     1
Vardas59            Pavarde59                6     7     9     2     1     8
Vardas60            Pavarde60                3     5     9    10     4     8
Vardas61            Pavarde61                6     6     3     9     4     6
Vardas62            Pavarde62                7     5     8     1     3     0
Vardas63            Pavarde63                9    10     5     9    10     9
Vardas64            Pavarde64                2     6     2     1    10     0
Vardas65            Pavarde65                3     5     4     3     5    10
Vardas66            Pavarde66                8    10     3     3     5     1
Vardas67            Pavarde67                7     7     1     4     7    10
Vardas68            Pavarde68                6     1    10     9     9     4
Vardas69            Pavarde69                6     7     2     8     5     6
Vardas70            Pavarde70                4     7     2     8     4     5
Vardas71            Pavarde71               10    10    10     3     3     6
Vardas72            Pavarde72                1     2    10     7     5     0
Vardas73            Pavarde73                7     8     2     5     0     8
Vardas74            Pavarde74                6     8    10     9     8     2
Vardas75            Pavarde75                1     4     1     8     6     5
Vardas76            Pavarde76                4     2     3     0     7     5
Vardas77            Pavarde77                1     6     3     8     0     2
Vardas78            Pavarde78               10     0     5     5     0     2
Vardas79            Pavarde79                1     2     3     2    10     9
Vardas80            Pavarde80                0     6     8     2     1    10
Vardas81            Pavarde81               10     1     3    10     4     1
Vardas82            Pavarde82                9     6     9     8     9     8
Vardas83            Pavarde83                2     0     3     1     0     4
Vardas84            Pavarde84                4     4    10     1     4     0
Vardas85            Pavarde85                4     4     6     6     5     7
Vardas86            Pavarde86                7    10     4     0     3    10
Vardas87            Pavarde87                8     2    10     0     1     6
Vardas88            Pavarde88                5     1     4     9     5    10
Vardas89            Pavarde89                2     9     5     1     7     6
Vardas90            Pavarde90                2     4     4     5     2     8
Vardas91            Pavarde91                2     0     5     3     8     1
Vardas92            Pavarde92               10     8     4     5     5     8
Vardas93            Pavarde93                4    10     8     6     2    10
Vardas94            Pavarde94                0     1     8     5     5     6
Vardas95            Pavarde95                0    10     6     8    10     3
